,g_means,diff_g_sums,cloud_percents,light_percents,flow_sums
p1_1,215.10708140642,606780.0,0.14384521218715995,0.32783086235038084,0.13575547045021763
p1_2,210.2023727593808,639410.0,0.16872024007070768,0.6013348518248098,0.05997710636107026
p1_3,212.6010407924583,532283.0,0.07849085093546615,0.35708989305587857,0.02977024105716438
p1_4,221.5015985321305,518994.0,0.1410808857258031,0.351661430894761,0.030167010092254417
p1_5,214.84345130002674,1352501.0,0.541531173895294,0.6928906766896125,0.9487248942452525
p1_6,220.53660488770564,662213.0,0.6374257628507065,0.6858283841900471,0.14413718513209092
p1_7,230.09484592047443,580333.0,0.7688996086596507,0.7151822189238313,0.13004949358102189
p1_8,232.20501998969306,605154.0,0.8150289202364833,0.739448995073797,0.0727151655291427
p1_9,191.86697235292723,1163306.0,0.9536633301648405,0.715272022434282,0.6844241976158502
p1_10,244.25915690312996,390981.0,0.9859303778235473,0.8603217746564473,0.06090005581676065
p2_2_c,209.40732161413231,739768.0,0.6775041723084674,0.7240057310199326,0.06113823391791574
p2_4_c,199.60794917334383,835390.0,0.09707045950886352,0.25743137771087243,0.03505290566567235
p2_5_c,217.71129622848773,832077.0,0.0,0.3554924935920908,0.022954925794123032
p2_6_c,220.17688365522432,572780.0,0.0013611194176058735,0.3920298896324634,0.017194388773922705
p2_10_c,192.2531203128348,595875.0,0.007425808870794943,0.22028002464109706,0.023440756428949272
p2_11_c,228.9452386695025,359775.0,0.0,0.70847402810972,0.023174684948479674
p2_12_c,218.53428185602317,1040772.0,0.31837693103720305,0.7365204438195209,0.8487305127080694
p2_13_c,223.384348620472,666581.0,0.0010899780828148096,0.7184719918761345,0.012888208203947446
p2_14_c,220.85999923428855,569075.0,0.09341679588047244,0.8063755048909819,0.14770571839884952
p2_15_c,220.857111491036,529226.0,0.017728960033724837,0.7039942855135426,0.030126035993104264
p2_2_o,201.76074065692757,944105.0,0.9677361226354211,0.6957414531526321,0.4541783284826465
p2_4_o,213.6596322306348,1337711.0,0.931035331600806,0.3297299578355834,0.3349618269606102
p2_5_o,220.00542844812645,1260616.0,0.9559131856070517,0.7157566016385588,0.530228290030345
p2_6_o,216.60364535896647,1369020.0,0.9894196684998715,0.6882657967141946,0.6752218648548298
p2_10_o,194.45616592934095,2424594.0,0.9886053846631653,0.6811112338070162,1.4452629483480914
p2_11_o,246.26379380911533,218964.0,0.5797128263782596,0.9954726142218784,0.10048851613879871
p2_12_o,222.66863072628254,969371.0,0.919326346620292,0.7692897350235687,0.6415021051668116
p2_13_o,220.39832372133864,1245319.0,0.96024026660813,0.35490012172975993,0.5519314621540181
p2_14_o,216.8267366209009,1457557.0,0.8775816536655612,0.7687640428356326,1.2278197955316226
p2_15_o,240.224328960178,307430.0,0.5160284641416717,0.7578577720087154,0.05491371856854979
p3_1,228.44622636758655,1003877.0,0.9896405858824207,0.7690444159880291,0.2899286227824379
p3_2,225.98656229133994,599017.0,0.9573634683768382,0.7552019441295672,0.1198271333187433
p3_3,238.1652252586966,438943.0,0.6299950462351387,0.8987264696169088,0.10189095030582618
p3_4,197.49683856225988,1092138.5,0.5309535277052835,0.7038833320265684,0.047206558787387484
p3_5,213.3661760569982,984237.0,0.0,0.3640693519994167,0.03095308341601304
p3_6,196.36775760184847,1488691.0,0.9852923865482345,0.7176679704973279,0.6209774147493181
p3_7,227.24069205887167,730678.0,0.8946243223387105,0.7131364445109871,0.03984836145352036
p3_8,243.13309592512127,349978.5,0.25075991502439915,0.9013748319997688,0.02202916792052144
p3_9,238.31560059154918,814299.0,0.8947918518871893,0.9014966541041977,0.04706218637309123
p3_10,183.59874429223743,1619949.5,0.9918335089567967,0.33145366522854247,0.5393489754193425
p3_11,201.08186530738004,870812.0,0.2984070184163158,0.7662446824036887,0.237534856607333
p3_12,240.6327818514908,359013.0,0.7810979716205843,0.8371503788788577,0.048909740913029756
p3_13,246.43425556254385,418967.5,0.21220614910625574,0.9266352648418059,0.16583259130000821
p3_14,245.47198350192053,237283.5,0.14159197962780107,0.9797435521895862,0.04153996313311734
p3_15,236.15604990280494,555402.0,0.009400191589125357,0.8032093979507806,0.08782822592391334
